S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,1,0.9976913928985596,0.9959198832511902,0,1,0.4515106976032257,0.4801909923553467,0,0,0.4308430254459381,0.4606756567955017
0,1,0.9976913928985596,0.9959198832511902,0,1,0.9979069232940674,0.9961234331130981,0,1,0.9856481552124023,0.9845480918884277
0,1,0.9976913928985596,0.9959198832511902,0,1,0.9856481552124023,0.9845480918884277,0,1,0.9856481552124023,0.9845480918884277
0,1,0.9969977736473083,0.9952649474143982,0,0,0.4515106976032257,0.4801909923553467,0,1,0.9979069232940674,0.9961234331130981
0,1,0.9969977736473083,0.9952649474143982,1,1,0.9993733763694763,0.998665988445282,0,1,0.9976913928985596,0.9959198832511902
0,1,0.9969977736473083,0.9952649474143982,0,1,0.9976913928985596,0.9959198832511902,0,1,0.9979069232940674,0.9961234331130981
0,0,0.4515106976032257,0.4801909923553467,0,1,0.9976913928985596,0.9959198832511902,0,0,0.5288408398628235,0.553209662437439
0,0,0.4515106976032257,0.4801909923553467,1,1,0.9620086550712585,0.9764022827148438,0,0,0.5116062164306641,0.5369359254837036
0,1,0.4515106976032257,0.4801909923553467,1,1,0.9620086550712585,0.9764022827148438,0,1,0.9997906684875488,0.9979020953178406
1,1,0.9998688697814941,0.9989611506462097,1,1,0.9826037883758545,0.9886738061904907,0,1,0.9997906684875488,0.9979020953178406
1,1,0.9998688697814941,0.9989611506462097,0,0,0.4308430254459381,0.4606756567955017,1,1,0.9826037883758545,0.9886738061904907
1,1,0.9998688697814941,0.9989611506462097,0,1,0.4515106976032257,0.4801909923553467,0,1,0.981947124004364,0.9810534119606018
1,1,0.9826037883758545,0.9886738061904907,0,1,0.986395001411438,0.9852533340454102,0,1,0.9788919687271118,0.9781686663627625
1,1,0.9826037883758545,0.9886738061904907,0,1,0.9997906684875488,0.9979020953178406,0,1,0.9788919687271118,0.9781686663627625
1,1,0.9826037883758545,0.9886738061904907,0,1,0.9784843325614929,0.977783739566803,1,1,0.9980989694595337,0.9979065656661987
0,1,0.4308430254459381,0.4606756567955017,0,1,0.986395001411438,0.9852533340454102,1,1,0.9850977659225464,0.990159809589386
0,1,0.4308430254459381,0.4606756567955017,1,1,0.9850977659225464,0.990159809589386,0,1,0.4308430254459381,0.4606756567955017
0,0,0.4515106976032257,0.4801909923553467,0,1,0.9979069232940674,0.9961234331130981,0,1,0.4308430254459381,0.4606756567955017
0,1,0.4515106976032257,0.4801909923553467,0,1,0.9979069232940674,0.9961234331130981,0,1,0.986395001411438,0.9852533340454102
0,1,0.9979069232940674,0.9961234331130981,0,1,0.9997906684875488,0.9979020953178406,0,1,0.986395001411438,0.9852533340454102
